,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
10,1.3137552273549043e-08,3.982903825798847e-09,-1.822475484264288e-10,-3.267562995093553e-08,-1.0886110991603298e-08,-3.846532423699399e-08,-2.5767294535259217e-08,2.4400828065365598e-08,-1.1447536987918573e-08,-5.468831354946517e-08,8.545329833674925e-08,-2.3086576481919505e-08,6.04807693504233e-08,-1.1828045697798157e-08,3.9235236246732164e-08,5.5745371550518476e-09,4.457895957141836e-08,3.9792708778425896e-08,5.527517743614281e-09,1.2987811339990857e-09,-1.6012664826849497e-08,-6.909532306345887e-08,-1.2574172966231845e-08,5.127060003639226e-09,2.974953152601973e-08,1.0647455044894148e-08,2.877204253835197e-11,5.4881172589500364e-08,-5.1760793935207846e-08,-4.161456185988433e-08,1.0926197711450245e-07,3.343486624451154e-08,-3.235762745793781e-08,-3.0820367372394106e-08,-1.9025751765277196e-08,-1.448129484108717e-08,5.016847527989959e-08,1.0000539354533897e-08,8.134330828822185e-09,-3.0310280624833166e-09,-5.735262485406073e-09,1.7664474961032637e-08,7.396767531834224e-09,-4.698338545972279e-08,-6.554246588561424e-09,6.770831170254969e-09,-4.019490208500555e-08,-1.7649964997290098e-08,4.735877056100416e-08
11,1.7397437351985008e-08,-1.7505045602776106e-07,4.4852948903160164e-08,-1.4590959892405134e-08,4.8927095453608086e-08,1.0869250396549098e-07,-3.991614541473719e-08,3.565891578854011e-08,-6.032217143078534e-08,4.512648077291528e-08,-2.3086576481922887e-08,2.811815732056149e-07,-6.776432896888615e-08,-2.080904247502132e-08,-3.2865904613020495e-08,1.2689456999705908e-07,-2.713931079633348e-09,-4.4175332816811695e-08,1.4996956224065012e-07,2.2178019051121106e-08,1.3491801279621412e-08,-8.728445227143852e-09,3.438873126384157e-08,-1.6501114696447319e-07,-5.437184955339145e-08,-4.805799253235868e-08,-4.1330484706382626e-08,-2.322102848587198e-08,-3.6525817088466924e-08,1.1026820695638765e-07,-2.635599146855916e-07,-1.7326742092120578e-08,-1.3016288259495153e-10,-1.410956785381679e-07,-1.1002494660814169e-07,-3.272244925166462e-08,-5.4317665638492264e-08,-1.6525998886760418e-08,2.1615967169471807e-08,1.7204950737180101e-09,4.09485314931998e-09,-7.03465700358671e-08,2.740116218571026e-08,-5.2080631882552413e-08,-3.2871119794876244e-08,1.387513674908271e-07,5.896450711116665e-08,8.125265444990241e-09,8.485030823156323e-08
12,-1.5498637974212676e-09,2.8482367324665864e-08,-4.269394775488584e-08,-1.5218648602270203e-08,-1.0695572935732112e-07,-3.931872072703147e-08,1.838837991034774e-08,-1.4060405235772532e-07,-6.322829281533544e-08,-1.2622069242289512e-07,6.048076935040749e-08,-6.776432896880802e-08,8.320231133380226e-07,-1.8218597383157838e-08,2.1047931576120624e-07,-2.448696705533981e-08,8.964128929304453e-08,2.2570559149738862e-07,-1.239570834527223e-07,9.913418747714599e-09,-7.92311711829285e-08,9.612299327777299e-08,-4.535659659467676e-08,7.420026684168233e-08,1.2330001047126656e-07,3.2391388833726085e-07,3.772673104404735e-08,3.617986208017706e-08,-2.1683234638081148e-07,1.4313194256292003e-07,7.166547210346163e-07,3.3383586020503994e-07,8.580974252347416e-08,1.1905618517415618e-07,-1.3240446214012657e-07,1.3619369852114089e-08,3.372269947320331e-07,-5.646369608315233e-08,-2.4280615487677268e-09,-4.054380648940667e-08,-3.885604903931839e-08,-8.639199648059233e-08,-1.9270949013440016e-07,-1.9294279239191243e-07,-1.7831865812045435e-08,5.919144749210782e-08,-7.37031423103352e-08,4.8296396016391686e-09,3.794262510282999e-07
13,-1.1582625641677697e-08,4.243243390715746e-08,5.137344339297963e-09,-1.3085996930870833e-08,5.1607335177664656e-08,-2.9326220243730605e-08,-3.49749889074218e-09,-8.856791792665746e-09,5.719001402169148e-08,-4.710202867357844e-09,-1.182804569779755e-08,-2.0809042475033075e-08,-1.8218597383115933e-08,1.0139655484030072e-07,6.47208126314647e-08,-3.143121592637307e-08,7.892603579714347e-08,-4.4121241655653254e-08,2.530657011121162e-08,-2.9490630493216e-08,-5.854989732062936e-09,-2.1019611044732364e-10,-3.5835288993651554e-09,9.119652357903402e-08,2.3184977192161823e-08,-1.018349832886292e-08,1.070238851557715e-08,-4.7889537336826955e-08,3.080276781810952e-08,-2.2955548562102097e-08,3.6385516748625126e-08,5.0677154752387306e-08,8.622874371642565e-08,1.2373190672660677e-07,7.738583769509214e-08,-3.378447908377436e-09,6.739892506622826e-08,-1.0186673214838747e-08,1.2005956985992015e-08,8.231841933410633e-10,-1.870988642634993e-08,1.4498961067513767e-08,-3.2079807687901206e-08,8.501726870220067e-09,2.1738441593296344e-08,-5.2426276992025206e-08,-8.008742517699259e-08,1.4656284199186394e-09,-5.9346947858752033e-08
14,9.421762049653449e-09,-7.521754405519257e-08,2.4304409349303515e-08,5.300301689559149e-08,-3.0625518802184105e-09,-1.2350274180677472e-07,-4.177674894488735e-08,-7.643224258514488e-08,5.572174436844042e-08,-1.6079226245421933e-07,3.923523624672554e-08,-3.286590461301187e-08,2.1047931576126003e-07,6.472081263144488e-08,5.079425788258604e-07,1.356490403237731e-07,8.698093001255234e-08,1.1805317523415239e-07,1.0369985879206072e-07,-5.0997528172567445e-09,-2.047740695746929e-08,-7.607509355692409e-08,-4.9983647955383313e-08,1.1157842035311304e-07,7.503601935801753e-08,5.070398690633905e-09,-3.3156605416217975e-08,-1.340120717849959e-08,-7.710955328396655e-08,4.3551743806837104e-08,2.5793971400308025e-07,2.2297498709252652e-07,8.71480163181991e-08,1.3600931400104197e-07,-3.3065731238821e-08,-1.1762667828589906e-08,2.885159398518957e-07,-4.2204486343553216e-08,7.3777881004729945e-09,-5.404786689028291e-08,-3.810780669654319e-08,-9.876361144778363e-08,-1.6051587850320535e-08,3.747617747377951e-08,-1.8640943866019316e-08,4.097210401557073e-08,-1.498502673665672e-07,5.403785029682293e-08,8.08268758050709e-08
15,-3.311868784601182e-08,-3.5867292866166704e-07,-9.005565636645224e-08,7.722671409742056e-08,-5.9130866165290915e-08,2.3435254326358015e-08,-4.358436377834913e-08,1.7086013166298757e-07,-2.7984416360422003e-08,-2.2911901404985927e-09,5.574537155031069e-09,1.2689456999708195e-07,-2.448696705545437e-08,-3.1431215926383865e-08,1.3564904032372258e-07,7.553776807209755e-07,-9.875203617156547e-08,-4.399016376378444e-08,1.0216723160420346e-07,-1.6867671270942692e-08,-5.108339686412391e-08,-1.528108138355647e-07,-1.117314787204601e-08,-1.228368057046087e-07,2.7683422722277014e-08,1.3949907231675773e-08,-2.9395810827964518e-08,1.3653836371279786e-07,-5.097574245356543e-08,1.229002960105361e-07,3.6295113154357906e-08,8.286193851798357e-08,-1.2276593638891024e-07,-1.4530189603458845e-08,-2.8948574846549486e-07,4.734521128975975e-08,3.2722772255822663e-07,-3.832662323683305e-08,-1.7182609535709703e-08,-2.1977348746622817e-08,1.1094951005434865e-08,-6.755355194723725e-08,2.700631680698912e-08,1.4498553122436653e-07,-4.87494192791125e-08,3.0022969178340264e-07,7.199470289083029e-08,2.0750793634941762e-08,1.70966290615604e-07
16,1.2492444147312744e-08,1.0521637252334655e-07,-7.749071789685718e-08,-9.716699321998984e-08,5.167676882217579e-08,-9.843024543684322e-08,1.5027457553723245e-08,-3.089391462363977e-08,2.7104101218020055e-08,-8.926800853782209e-08,4.4578959571425084e-08,-2.7139310796505888e-09,8.964128929319153e-08,7.892603579715599e-08,8.698093001262687e-08,-9.875203617149137e-08,5.175386405309072e-07,1.0256658940302724e-07,-6.562732308284024e-08,-2.1078177284794045e-08,1.695129857304972e-09,4.472901369979781e-08,-2.5591139950527438e-08,3.190224895540591e-07,1.326658963910787e-07,2.8845323162101038e-08,-2.2077913876934236e-08,2.8926208162532193e-08,-6.905704973006613e-08,-1.1316327614348812e-07,5.404412627613416e-07,2.21901816907924e-07,4.008819208268436e-08,4.422097359521104e-08,4.9238158722570506e-08,9.91322771564598e-09,1.2686623532964608e-07,-5.1666133053363645e-08,2.068992064268009e-08,-5.389915721928441e-09,-1.3947236729646106e-07,-4.652019733116761e-09,-6.148702618256404e-08,-1.1217233346227405e-07,-4.310030164173483e-08,-5.527735264920475e-08,-3.133543596681811e-07,-4.68383812295325e-09,6.51705494727421e-08
17,1.8762631936498965e-08,1.4617982889446967e-07,-9.92666222123121e-08,1.8131535485906896e-08,-4.5967832896904346e-08,-6.839782483145976e-08,1.8332693549006824e-08,-8.79446067364087e-08,-4.1974271623735574e-08,-1.135168347145966e-07,3.979270877840965e-08,-4.4175332816763666e-08,2.2570559149732872e-07,-4.412124165567709e-08,1.1805317523409474e-07,-4.3990163763755415e-08,1.0256658940292469e-07,4.3426243278806977e-07,7.603467291144962e-09,5.888726951483768e-08,-8.163606222354956e-08,1.3762474910480908e-07,8.083554345508433e-09,1.7136504056018388e-07,1.1654065178316012e-08,-4.671958997695158e-08,-4.157170769390167e-09,8.778993835653723e-08,-1.1650989769199053e-07,6.47642694966624e-08,4.247280110957774e-07,1.4528809227827302e-07,1.1428227253683374e-07,-1.2732479457672203e-07,-5.217002060428721e-08,5.3556865205274545e-08,1.727296718094675e-07,-2.4634604148980117e-08,-2.3708843443164412e-08,-2.827927869891363e-08,-6.59298477995506e-08,5.173513282439711e-08,-2.050829614945195e-08,-7.557617993511422e-08,-5.519631858579459e-08,1.7224000879230238e-07,-2.4074685498376106e-07,1.3754833393188384e-09,2.42201776602852e-07
18,6.713949691102315e-08,-2.527915410956006e-08,1.5932091577501247e-07,-2.4871660968586037e-08,-4.280674620822093e-08,2.805123872629742e-07,-3.601074851761663e-08,-1.2394229222022633e-07,-8.54716743283178e-08,2.9397891917728687e-08,5.527517743601359e-09,1.499695622406574e-07,-1.2395708345287415e-07,2.530657011120077e-08,1.0369985879200506e-07,1.0216723160416496e-07,-6.562732308289511e-08,7.603467291064708e-09,7.46249390672496e-07,5.3194063229075266e-08,-9.180536941730495e-09,3.7813414027144655e-08,-1.6507640603495714e-08,-1.6650738817039315e-07,-1.0401564023064638e-07,-2.4871260890982333e-07,4.814130226810443e-08,-2.0008608571360054e-07,-1.2257325721569669e-09,1.1374042441659063e-07,-3.7817928460195287e-07,1.4301386619129193e-08,2.417685982909208e-07,-9.843117383424908e-08,-2.4997337803700293e-07,6.499854774997139e-08,-1.28583972574304e-07,3.118702555870029e-08,3.278236152605123e-08,-4.33772936110943e-08,-3.853342969128347e-08,-6.63756760702101e-08,-4.74010109840696e-08,-9.141007078816038e-09,8.084604573402918e-08,2.930679136259437e-07,1.5301021570463827e-07,-3.181606664386538e-08,1.2669300464312188e-07
19,-2.9225996352363168e-09,-4.86610478268232e-08,-1.1318028252449018e-08,-2.5613226857519217e-08,3.099308644386989e-08,5.32167138675045e-08,-2.4309134367552285e-08,2.5626756253160738e-08,-1.0453812106470334e-08,1.716583337125443e-08,1.298781133999274e-09,2.2178019051134053e-08,9.913418747706866e-09,-2.9490630493226356e-08,-5.099752817266327e-09,-1.6867671270932978e-08,-2.1078177284806195e-08,5.888726951484731e-08,5.3194063229096826e-08,1.5018967644139807e-07,-8.891243546215882e-10,1.0644089554822333e-08,1.793076425684145e-08,-3.813320829883955e-09,-4.993290926821137e-08,-3.917200327605324e-08,-1.4486198318121292e-08,-1.068289430936578e-08,7.112572855923298e-09,6.227816846189624e-08,-2.0939836854357097e-08,1.884374836378665e-08,3.401031794194842e-08,-1.157331845832768e-07,6.871673697710525e-08,-3.1601990321587564e-08,4.708285034148748e-08,4.483052317169816e-09,3.0410257401843217e-09,6.005991629892183e-09,4.408704406720654e-08,-4.8076962996954545e-08,-1.502544114957674e-09,8.927479492739981e-08,2.0623237057581725e-08,7.873631214999732e-08,9.105627122139604e-08,3.958624285296486e-08,3.4895164822567455e-08
